id,lang,complexity,mode,top_k,gc,cost,refusal,lat_orch_ms,lat_llm_ms,lat_total_ms,input_tokens,output_tokens,answer_length,num_citations
en_mount_tongariro_q1,en,simple,language_aware,5,1.0,0.003654,False,132.97796249389648,2714.7200107574463,2847.697973251343,868,70,241,1
en_moa_q1,en,simple,language_aware,5,1.0,0.004305,False,102.15401649475098,3876.3229846954346,3978.4770011901855,1000,87,304,1
en_kaka_q1,en,simple,language_aware,5,1.0,0.0028590000000000004,False,136.36493682861328,2561.2449645996094,2697.6099014282227,813,28,83,1
en_kakapo_q1,en,simple,language_aware,5,1.0,0.0037860000000000003,False,92.7588939666748,3323.941230773926,3416.7001247406006,952,62,221,1
en_muturangi_q1,en,simple,language_aware,5,1.0,0.004491,False,105.41605949401855,3263.0200386047363,3368.436098098755,982,103,321,1
en_taupo_q1,en,simple,language_aware,5,1.0,0.0041670000000000006,False,96.66204452514648,3797.959804534912,3894.6218490600586,934,91,330,2
en_new_zealand_q1,en,simple,language_aware,5,1.0,0.0027630000000000003,False,146.34299278259277,2570.4851150512695,2716.8281078338623,791,26,108,1
en_kea_q1,en,complex,language_aware,5,1.0,0.003978000000000001,False,132.07507133483887,3929.612159729004,4061.687231063843,901,85,375,1
en_agathis_australis_q1,en,complex,language_aware,5,1.0,0.0043560000000000005,False,151.20983123779297,3518.7346935272217,3669.9445247650146,992,92,402,1
en_treaty_of_waitangi_q1,en,complex,language_aware,5,1.0,0.005514000000000001,False,175.97270011901855,4662.558078765869,4838.530778884888,1123,143,656,1
en_united_states_q1,en,complex,language_aware,5,1.0,0.0036509999999999997,False,462.94498443603516,3497.7681636810303,3960.7131481170654,842,75,318,1
en_north_america_q1,en,complex,language_aware,5,1.0,0.004338,False,144.4101333618164,3895.83683013916,4040.2469635009766,856,118,435,1
mi_matariki_q1,mi,simple,language_aware,8,1.0,0.005724,False,92.23318099975586,5360.342979431152,5452.576160430908,1158,150,347,1
mi_marae_q1,mi,simple,language_aware,8,1.0,0.006033,False,141.4637565612793,3225.245952606201,3366.7097091674805,1481,106,225,1
mi_tongariro_q1,mi,simple,language_aware,8,1.0,0.004299000000000001,False,95.43204307556152,2686.764717102051,2782.1967601776123,1293,28,51,1
mi_moa_q1,mi,simple,language_aware,8,1.0,0.004992,False,142.01617240905762,4462.890148162842,4604.906320571899,1104,112,231,1
mi_kea_q1,mi,simple,language_aware,8,1.0,0.004854000000000001,False,165.8930778503418,2620.01895904541,2785.912036895752,1458,32,65,1
mi_kauri_q1,mi,simple,language_aware,8,1.0,0.005529,False,97.85604476928711,3256.8347454071045,3354.6907901763916,1458,77,163,1
mi_kaka_q1,mi,simple,language_aware,8,0.0,0.0064919999999999995,False,97.73087501525879,5535.694122314453,5633.424997329712,1459,141,285,1
mi_kakapo_q1,mi,simple,language_aware,8,1.0,0.00594,False,94.37823295593262,4621.42014503479,4715.798377990723,1455,105,209,1
mi_muturangi_q1,mi,simple,language_aware,8,1.0,0.0049830000000000004,False,98.39200973510742,4402.320146560669,4500.712156295776,1231,86,183,1
mi_taupo_q1,mi,simple,language_aware,8,0.0,0.005988,False,111.19914054870605,5552.151203155518,5663.350343704224,1326,134,290,0
mi_aotearoa_q1,mi,simple,language_aware,8,1.0,0.006237,False,144.33693885803223,3613.2118701934814,3757.5488090515137,1469,122,240,1
mi_reo_maori_q1,mi,complex,language_aware,8,1.0,0.006272999999999999,False,216.24398231506348,5930.561065673828,6146.805047988892,1341,150,336,1
mi_te_tiriti_o_waitangi_q1,mi,complex,language_aware,8,0.0,0.005985,False,197.32213020324707,6043.766021728516,6241.088151931763,1290,141,297,0
mi_united_states_q1,mi,complex,language_aware,8,0.0,0.005631000000000001,False,190.19508361816406,4317.766904830933,4507.961988449097,1227,130,288,1
mi_amerika_ki_te_raki_q1,mi,complex,language_aware,8,0.0,0.006444,False,237.94102668762207,5078.1238079071045,5316.064834594727,1398,150,315,1
